event,time,ticker,side,lots,signal_time,entry_price,exit_price,entry_total_amount,exit_total_amount,entry_commission,exit_commission,commission_rub,gross_pnl_rub,net_pnl_rub,gross_pnl_bp,net_pnl_bp,close_at,arm
OPEN,2026-09-09T07:31:02.768770+00:00,GMKN,1,1,2026-09-09T07:29:00+00:00,134.0,,1340.0,,0.67,,,,,,,2026-09-09T07:59:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-09T07:59:09.080351+00:00,GMKN,1,1,2026-09-09T07:29:00+00:00,134.0,134.26,1340.0,1342.6,0.67,0.6713,1.3413,2.599999999999909,1.2586999999999091,19.40298507462579,9.393283582088873,,NO_BROAD_TREND
OPEN,2026-09-09T08:28:36.079475+00:00,TATN,-1,1,2026-09-09T08:26:00+00:00,618.0,,618.0,,0.309,,,,,,,2026-09-09T08:56:00+00:00,NO_BROAD_TREND
OPEN,2026-09-09T08:34:57.919285+00:00,MOEX,-1,1,2026-09-09T08:32:00+00:00,150.89,,1508.9,,0.75445,,,,,,,2026-09-09T09:02:00+00:00,NO_BROAD_TREND
OPEN,2026-09-09T08:41:29.902646+00:00,TRNFP,1,1,2026-09-09T08:39:00+00:00,1037.0,,1037.0,,0.5185,,,,,,,2026-09-09T09:09:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-09T08:56:07.579013+00:00,TATN,-1,1,2026-09-09T08:26:00+00:00,618.0,616.8,618.0,616.8,0.309,0.3084,0.6174,1.2000000000000455,0.5826000000000455,19.41747572815622,9.427184466020154,,NO_BROAD_TREND
CLOSE,2026-09-09T09:02:09.613083+00:00,MOEX,-1,1,2026-09-09T08:32:00+00:00,150.89,150.75,1508.9,1507.5,0.75445,0.75375,1.5082,1.400000000000091,-0.10819999999990904,9.278282192324294,-0.7170786665776991,,NO_BROAD_TREND
OPEN,2026-09-09T09:08:11.515752+00:00,NVTK,1,1,2026-09-09T09:06:00+00:00,1001.6,,1001.6,,0.5008,,,,,,,2026-09-09T09:36:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-09T09:09:02.183141+00:00,TRNFP,1,1,2026-09-09T08:39:00+00:00,1037.0,1038.4,1037.0,1038.4,0.5185,0.5192,1.0377,1.400000000000091,0.3623000000000909,13.500482160078153,3.4937319189979834,,NO_BROAD_TREND
OPEN,2026-09-09T09:14:35.876613+00:00,VTBR,1,1,2026-09-09T09:12:00+00:00,51.685,,51.685,,0.0258425,,,,,,,2026-09-09T09:42:00+00:00,NO_BROAD_TREND
OPEN,2026-09-09T09:22:08.124007+00:00,GAZP,1,1,2026-09-09T09:20:00+00:00,89.46,,894.6,,0.4473,,,,,,,2026-09-09T09:50:00+00:00,NO_BROAD_TREND
OPEN,2026-09-09T09:35:56.070531+00:00,SBER,1,1,2026-09-09T09:33:00+00:00,275.69,,275.69,,0.137845,,,,,,,2026-09-09T10:03:00+00:00,NO_BROAD_TREND
OPEN,2026-09-09T09:35:56.070531+00:00,GMKN,1,1,2026-09-09T09:33:00+00:00,133.28,,1332.8,,0.6664,,,,,,,2026-09-09T10:03:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-09T09:36:19.267176+00:00,NVTK,1,1,2026-09-09T09:06:00+00:00,1001.6,997.6,1001.6,997.6,0.5008,0.4988,0.9996,-4.0,-4.9996,-39.936102236421966,-49.91613418530352,,NO_BROAD_TREND
OPEN,2026-09-09T09:36:59.975837+00:00,MOEX,1,1,2026-09-09T09:34:00+00:00,149.67,,1496.7,,0.74835,,,,,,,2026-09-09T10:04:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-09T09:42:05.781766+00:00,VTBR,1,1,2026-09-09T09:12:00+00:00,51.685,51.3,51.685,51.3,0.0258425,0.02565,0.0514925,-0.3850000000000051,-0.4364925000000051,-74.4896972042186,-84.45245235561673,,NO_BROAD_TREND
CLOSE,2026-09-09T09:50:08.252815+00:00,GAZP,1,1,2026-09-09T09:20:00+00:00,89.46,89.22,894.6,892.2,0.4473,0.4461,0.8934,-2.3999999999999773,-3.293399999999977,-26.827632461434714,-36.814218645204306,,NO_BROAD_TREND
OPEN,2026-09-09T09:58:30.751901+00:00,GAZP,1,1,2026-09-09T09:56:00+00:00,89.15,,891.5,,0.44575,,,,,,,2026-09-09T10:26:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-09T10:03:02.532769+00:00,SBER,1,1,2026-09-09T09:33:00+00:00,275.69,275.89,275.69,275.89,0.137845,0.137945,0.27579,0.19999999999998863,-0.07579000000001135,7.254525009974255,-2.7491022525304274,,NO_BROAD_TREND
CLOSE,2026-09-09T10:03:02.532769+00:00,GMKN,1,1,2026-09-09T09:33:00+00:00,133.28,133.08,1332.8,1330.8,0.6664,0.6654,1.3317999999999999,-2.0,-3.3318,-15.006002400959062,-24.998499399759904,,NO_BROAD_TREND
CLOSE,2026-09-09T10:04:04.239459+00:00,MOEX,1,1,2026-09-09T09:34:00+00:00,149.67,149.66,1496.7,1496.6,0.74835,0.7483,1.4966499999999998,-0.10000000000013642,-1.5966500000001362,-0.6681365671135087,-10.667802498831671,,NO_BROAD_TREND
CLOSE,2026-09-09T10:26:09.715292+00:00,GAZP,1,1,2026-09-09T09:56:00+00:00,89.15,88.95,891.5,889.5,0.44575,0.44475,0.8905,-2.0,-2.8905,-22.43409983174405,-32.42288278182838,,NO_BROAD_TREND
OPEN,2026-09-09T10:30:37.178872+00:00,GAZP,-1,1,2026-09-09T10:28:00+00:00,88.73,,887.3,,0.44365,,,,,,,2026-09-09T10:58:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-09T10:58:04.053545+00:00,GAZP,-1,1,2026-09-09T10:28:00+00:00,88.73,88.99,887.3,889.9,0.44365,0.44495,0.8886000000000001,-2.6000000000000227,-3.488600000000023,-29.302378000675144,-39.31702918967681,,NO_BROAD_TREND
OPEN,2026-09-09T11:30:31.814220+00:00,SIBN,-1,1,2026-09-09T11:28:00+00:00,545.0,,545.0,,0.2725,,,,,,,2026-09-09T11:58:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-09T11:58:09.153600+00:00,SIBN,-1,1,2026-09-09T11:28:00+00:00,545.0,543.95,545.0,543.95,0.2725,0.271975,0.544475,1.0499999999999545,0.5055249999999545,19.266055045871198,9.275688073393662,,NO_BROAD_TREND
OPEN,2026-09-09T12:16:33.510136+00:00,MOEX,1,1,2026-09-09T12:14:00+00:00,148.65,,1486.5,,0.74325,,,,,,,2026-09-09T12:44:00+00:00,NO_BROAD_TREND
OPEN,2026-09-09T12:33:47.778608+00:00,NVTK,-1,1,2026-09-09T12:31:00+00:00,999.4,,999.4,,0.4997,,,,,,,2026-09-09T13:01:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-09T12:44:01.749694+00:00,MOEX,1,1,2026-09-09T12:14:00+00:00,148.65,149.4,1486.5,1494.0,0.74325,0.747,1.49025,7.5,6.00975,50.454086781028806,40.42885973763875,,NO_BROAD_TREND
CLOSE,2026-09-09T13:01:06.005617+00:00,NVTK,-1,1,2026-09-09T12:31:00+00:00,999.4,1001.1,999.4,1001.1,0.4997,0.50055,1.00025,-1.7000000000000455,-2.700250000000046,-17.01020612367543,-27.0187112267365,,NO_BROAD_TREND
OPEN,2026-09-09T13:08:12.177496+00:00,BSPB,1,1,2026-09-09T13:06:00+00:00,251.0,,2510.0,,1.255,,,,,,,2026-09-09T13:36:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-09T13:36:08.801539+00:00,BSPB,1,1,2026-09-09T13:06:00+00:00,251.0,251.54,2510.0,2515.4,1.255,1.2577,2.5126999999999997,5.400000000000091,2.8873000000000912,21.51394422310826,11.50318725099638,,NO_BROAD_TREND
OPEN,2026-09-09T13:59:46.630661+00:00,VTBR,-1,1,2026-09-09T13:58:00+00:00,51.64,,51.64,,0.02582,,,,,,,2026-09-09T14:28:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-09T14:28:09.581214+00:00,VTBR,-1,1,2026-09-09T13:58:00+00:00,51.64,51.385,51.64,51.385,0.02582,0.0256925,0.0515125,0.25500000000000256,0.20348750000000254,49.38032532920245,39.40501549186726,,NO_BROAD_TREND
OPEN,2026-09-09T14:55:47.181205+00:00,NVTK,1,1,2026-09-09T14:53:00+00:00,985.8,,985.8,,0.4929,,,,,,,2026-09-09T15:23:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-09T15:23:06.507206+00:00,NVTK,1,1,2026-09-09T14:53:00+00:00,985.8,978.8,985.8,978.8,0.4929,0.4894,0.9823,-7.0,-7.9823,-71.00831811726493,-80.97281395820653,,NO_BROAD_TREND
OPEN,2026-09-09T15:29:08.757913+00:00,NVTK,1,1,2026-09-09T15:27:00+00:00,975.3,,975.3,,0.48765,,,,,,,2026-09-09T15:57:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-09T16:00:06.576521+00:00,NVTK,1,1,2026-09-09T15:27:00+00:00,975.3,980.8,975.3,980.8,0.48765,0.4904,0.97805,5.5,4.52195,56.392904747257774,46.36470829488363,,NO_BROAD_TREND
OPEN,2026-09-09T17:38:29.675850+00:00,ROSN,-1,1,2026-09-09T17:36:00+00:00,333.55,,333.55,,0.166775,,,,,,,2026-09-09T18:06:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-09T18:06:08.560550+00:00,ROSN,-1,1,2026-09-09T17:36:00+00:00,333.55,333.1,333.55,333.1,0.166775,0.16655,0.333325,0.44999999999998863,0.11667499999998865,13.491230700044543,3.497976315394653,,NO_BROAD_TREND
OPEN,2026-09-09T18:08:41.903748+00:00,VTBR,1,1,2026-09-09T18:06:00+00:00,51.35,,51.35,,0.025675,,,,,,,2026-09-09T18:36:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-09T18:36:09.261146+00:00,VTBR,1,1,2026-09-09T18:06:00+00:00,51.35,51.41,51.35,51.41,0.025675,0.025705,0.051379999999999995,0.05999999999999517,0.008619999999995173,11.684518013630463,1.6786757546241817,,NO_BROAD_TREND
OPEN,2026-09-10T07:24:36.721165+00:00,ROSN,-1,1,2026-09-10T07:22:00+00:00,338.85,,338.85,,0.169425,,,,,,,2026-09-10T07:52:00+00:00,NO_BROAD_TREND
OPEN,2026-09-10T07:38:40.384723+00:00,SIBN,1,1,2026-09-10T07:36:00+00:00,543.05,,543.05,,0.271525,,,,,,,2026-09-10T08:06:00+00:00,NO_BROAD_TREND
OPEN,2026-09-10T07:39:41.197647+00:00,AKRN,-1,1,2026-09-10T07:37:00+00:00,19096.0,,19096.0,,9.548,,,,,,,2026-09-10T08:07:00+00:00,NO_BROAD_TREND
OPEN,2026-09-10T07:49:24.235822+00:00,AFKS,-1,1,2026-09-10T07:47:00+00:00,7.559,,755.9,,0.37795,,,,,,,2026-09-10T08:17:00+00:00,NO_BROAD_TREND
OPEN,2026-09-10T07:51:35.228974+00:00,NVTK,1,1,2026-09-10T07:50:00+00:00,989.6,,989.6,,0.4948,,,,,,,2026-09-10T08:20:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-10T07:52:05.982068+00:00,ROSN,-1,1,2026-09-10T07:22:00+00:00,338.85,344.3,338.85,344.3,0.169425,0.17215,0.34157499999999996,-5.449999999999989,-5.791574999999988,-160.83812896561912,-170.91854803010145,,NO_BROAD_TREND
OPEN,2026-09-10T07:56:59.703954+00:00,ROSN,1,1,2026-09-10T07:54:00+00:00,343.0,,343.0,,0.1715,,,,,,,2026-09-10T08:24:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-10T08:06:02.461156+00:00,SIBN,1,1,2026-09-10T07:36:00+00:00,543.05,544.6,543.05,544.6,0.271525,0.2723,0.543825,1.5500000000000682,1.0061750000000682,28.54249148328991,18.528220237548446,,NO_BROAD_TREND
CLOSE,2026-09-10T08:07:03.304377+00:00,AKRN,-1,1,2026-09-10T07:37:00+00:00,19096.0,19178.0,19096.0,19178.0,9.548,9.589,19.137,-82.0,-101.137,-42.94093003770483,-52.962400502723085,,NO_BROAD_TREND
OPEN,2026-09-10T08:09:58.475362+00:00,SIBN,-1,1,2026-09-10T08:08:00+00:00,548.5,,548.5,,0.27425,,,,,,,2026-09-10T08:38:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-10T08:17:00.723331+00:00,AFKS,-1,1,2026-09-10T07:47:00+00:00,7.559,7.604,755.9,760.4,0.37795,0.3802,0.75815,-4.5,-5.25815,-59.531684085196716,-69.56144992723905,,NO_BROAD_TREND
CLOSE,2026-09-10T08:20:01.936752+00:00,NVTK,1,1,2026-09-10T07:50:00+00:00,989.6,989.3,989.6,989.3,0.4948,0.49465,0.9894499999999999,-0.3000000000000682,-1.2894500000000682,-3.0315278900572284,-13.030012126112249,,NO_BROAD_TREND
CLOSE,2026-09-10T08:24:08.431943+00:00,ROSN,1,1,2026-09-10T07:54:00+00:00,343.0,343.85,343.0,343.85,0.1715,0.171925,0.343425,0.8500000000000227,0.5065750000000228,24.781341107873445,14.768950437318447,,NO_BROAD_TREND
CLOSE,2026-09-10T08:38:03.833173+00:00,SIBN,-1,1,2026-09-10T08:08:00+00:00,548.5,545.45,548.5,545.45,0.27425,0.272725,0.546975,3.0499999999999545,2.5030249999999548,55.606198723791024,45.63400182315323,,NO_BROAD_TREND
OPEN,2026-09-10T08:48:51.580157+00:00,ROSN,1,1,2026-09-10T08:47:00+00:00,342.55,,342.55,,0.171275,,,,,,,2026-09-10T09:17:00+00:00,NO_BROAD_TREND
OPEN,2026-09-10T09:01:55.305344+00:00,SNGSP,1,1,2026-09-10T09:00:00+00:00,41.535,,415.35,,0.207675,,,,,,,2026-09-10T09:30:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-10T09:17:00.402068+00:00,ROSN,1,1,2026-09-10T08:47:00+00:00,342.55,343.15,342.55,343.15,0.171275,0.171575,0.34285,0.5999999999999659,0.2571499999999659,17.51569113997764,7.506933294408579,,NO_BROAD_TREND
OPEN,2026-09-10T09:25:45.028266+00:00,GAZP,-1,1,2026-09-10T09:23:00+00:00,89.41,,894.1,,0.44705,,,,,,,2026-09-10T09:53:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-10T09:30:06.593328+00:00,SNGSP,1,1,2026-09-10T09:00:00+00:00,41.535,41.5,415.35,415.0,0.207675,0.2075,0.41517499999999996,-0.35000000000002274,-0.7651750000000227,-8.426628144937442,-18.42241483086608,,NO_BROAD_TREND
OPEN,2026-09-10T09:35:28.371006+00:00,AFKS,1,1,2026-09-10T09:33:00+00:00,7.616,,761.6,,0.3808,,,,,,,2026-09-10T10:03:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-10T09:53:02.905355+00:00,GAZP,-1,1,2026-09-10T09:23:00+00:00,89.41,89.0,894.1,890.0,0.44705,0.445,0.89205,4.100000000000023,3.2079500000000225,45.85616821384586,35.879096297953495,,NO_BROAD_TREND
CLOSE,2026-09-10T10:03:05.810578+00:00,AFKS,1,1,2026-09-10T09:33:00+00:00,7.616,7.6129999999999995,761.6,761.3,0.3808,0.38065,0.76145,-0.3000000000000682,-1.0614500000000682,-3.939075630252642,-13.937106092437869,,NO_BROAD_TREND
OPEN,2026-09-10T10:13:34.049883+00:00,ROSN,1,1,2026-09-10T10:11:00+00:00,341.9,,341.9,,0.17095,,,,,,,2026-09-10T10:41:00+00:00,NO_BROAD_TREND
OPEN,2026-09-10T10:35:11.539812+00:00,NVTK,1,1,2026-09-10T10:33:00+00:00,985.6,,985.6,,0.4928,,,,,,,2026-09-10T11:03:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-10T10:41:00.682315+00:00,ROSN,1,1,2026-09-10T10:11:00+00:00,341.9,342.65,341.9,342.65,0.17095,0.171325,0.342275,0.75,0.407725,21.93623866627581,11.925270546943553,,NO_BROAD_TREND
CLOSE,2026-09-10T11:03:09.960178+00:00,NVTK,1,1,2026-09-10T10:33:00+00:00,985.6,989.4,985.6,989.4,0.4928,0.4947,0.9875,3.7999999999999545,2.8124999999999547,38.55519480519432,28.535917207791744,,NO_BROAD_TREND
OPEN,2026-09-10T12:04:19.926717+00:00,NVTK,1,1,2026-09-10T12:02:00+00:00,980.8,,980.8,,0.4904,,,,,,,2026-09-10T12:32:00+00:00,NO_BROAD_TREND
OPEN,2026-09-10T12:08:41.561042+00:00,SNGSP,1,1,2026-09-10T12:06:00+00:00,41.34,,413.4,,0.2067,,,,,,,2026-09-10T12:36:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-10T12:32:00.915857+00:00,NVTK,1,1,2026-09-10T12:02:00+00:00,980.8,996.5,980.8,996.5,0.4904,0.49825,0.98865,15.700000000000045,14.711350000000046,160.07340946166516,149.99337275693358,,NO_BROAD_TREND
OPEN,2026-09-10T12:35:54.745811+00:00,TATNP,-1,1,2026-09-10T12:34:00+00:00,597.1,,597.1,,0.29855,,,,,,,2026-09-10T13:04:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-10T12:36:17.302290+00:00,SNGSP,1,1,2026-09-10T12:06:00+00:00,41.34,41.52,413.4,415.2,0.2067,0.2076,0.4143,1.8000000000000114,1.3857000000000115,43.541364296080246,33.519593613933516,,NO_BROAD_TREND
OPEN,2026-09-10T12:37:08.122662+00:00,GMKN,1,1,2026-09-10T12:35:00+00:00,133.06,,1330.6,,0.6653,,,,,,,2026-09-10T13:05:00+00:00,NO_BROAD_TREND
OPEN,2026-09-10T12:44:40.594956+00:00,LKOH,-1,1,2026-09-10T12:42:00+00:00,5328.0,,5328.0,,2.664,,,,,,,2026-09-10T13:12:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-10T13:04:09.190015+00:00,TATNP,-1,1,2026-09-10T12:34:00+00:00,597.1,597.6,597.1,597.6,0.29855,0.2988,0.59735,-0.5,-1.09735,-8.373806732540068,-18.377993635906883,,NO_BROAD_TREND
CLOSE,2026-09-10T13:05:00.052034+00:00,GMKN,1,1,2026-09-10T12:35:00+00:00,133.06,132.86,1330.6,1328.6,0.6653,0.6643,1.3296000000000001,-2.0,-3.3296,-15.030813166991841,-25.02329776040884,,NO_BROAD_TREND
OPEN,2026-09-10T13:08:44.801658+00:00,GMKN,1,1,2026-09-10T13:06:00+00:00,132.52,,1325.2,,0.6626,,,,,,,2026-09-10T13:36:00+00:00,NO_BROAD_TREND
OPEN,2026-09-10T13:11:58.306996+00:00,NVTK,1,1,2026-09-10T13:09:00+00:00,1022.5,,1022.5,,0.51125,,,,,,,2026-09-10T13:39:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-10T13:12:08.880461+00:00,LKOH,-1,1,2026-09-10T12:42:00+00:00,5328.0,5313.0,5328.0,5313.0,2.664,2.6565,5.3205,15.0,9.6795,28.15315315315314,18.167229729729733,,NO_BROAD_TREND
OPEN,2026-09-10T13:14:09.894562+00:00,SIBN,-1,1,2026-09-10T13:12:00+00:00,551.0,,551.0,,0.2755,,,,,,,2026-09-10T13:42:00+00:00,NO_BROAD_TREND
OPEN,2026-09-10T13:15:10.829902+00:00,ROSN,1,1,2026-09-10T13:13:00+00:00,350.05,,350.05,,0.175025,,,,,,,2026-09-10T13:43:00+00:00,NO_BROAD_TREND
OPEN,2026-09-10T13:22:55.231529+00:00,TATN,1,1,2026-09-10T13:20:00+00:00,623.9,,623.9,,0.31195,,,,,,,2026-09-10T13:50:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-10T13:36:01.269427+00:00,GMKN,1,1,2026-09-10T13:06:00+00:00,132.52,131.78,1325.2,1317.8,0.6626,0.6589,1.3215,-7.400000000000091,-8.721500000000091,-55.84062782976184,-65.81270751584735,,NO_BROAD_TREND
CLOSE,2026-09-10T13:39:02.927276+00:00,NVTK,1,1,2026-09-10T13:09:00+00:00,1022.5,1029.2,1022.5,1029.2,0.51125,0.5146,1.02585,6.7000000000000455,5.674150000000045,65.52567237163798,55.49290953545277,,NO_BROAD_TREND
CLOSE,2026-09-10T13:42:04.229924+00:00,SIBN,-1,1,2026-09-10T13:12:00+00:00,551.0,548.85,551.0,548.85,0.2755,0.274425,0.549925,2.1499999999999773,1.6000749999999773,39.01996370235916,29.03947368421011,,NO_BROAD_TREND
CLOSE,2026-09-10T13:43:07.178732+00:00,ROSN,1,1,2026-09-10T13:13:00+00:00,350.05,349.4,350.05,349.4,0.175025,0.1747,0.34972499999999995,-0.6500000000000341,-0.9997250000000341,-18.568775889159504,-28.559491501215085,,NO_BROAD_TREND
CLOSE,2026-09-10T13:50:09.678034+00:00,TATN,1,1,2026-09-10T13:20:00+00:00,623.9,622.1,623.9,622.1,0.31195,0.31105,0.623,-1.7999999999999545,-2.4229999999999547,-28.850777368166767,-38.83635197948317,,NO_BROAD_TREND
OPEN,2026-09-10T14:48:19.645191+00:00,GAZP,-1,1,2026-09-10T14:46:00+00:00,91.99,,919.9,,0.45995,,,,,,,2026-09-10T15:16:00+00:00,NO_BROAD_TREND
OPEN,2026-09-10T14:48:19.645191+00:00,GMKN,-1,1,2026-09-10T14:46:00+00:00,133.14,,1331.4,,0.6657,,,,,,,2026-09-10T15:16:00+00:00,NO_BROAD_TREND
OPEN,2026-09-10T14:52:37.752450+00:00,SBER,-1,1,2026-09-10T14:50:00+00:00,282.92,,282.92,,0.14146,,,,,,,2026-09-10T15:20:00+00:00,NO_BROAD_TREND
OPEN,2026-09-10T14:52:37.752450+00:00,ROSN,-1,1,2026-09-10T14:50:00+00:00,352.1,,352.1,,0.17605,,,,,,,2026-09-10T15:20:00+00:00,NO_BROAD_TREND
OPEN,2026-09-10T14:52:37.752450+00:00,SBERP,-1,1,2026-09-10T14:50:00+00:00,282.94,,282.94,,0.14147,,,,,,,2026-09-10T15:20:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-10T15:16:07.553352+00:00,GAZP,-1,1,2026-09-10T14:46:00+00:00,91.99,93.69,919.9,936.9,0.45995,0.46845,0.9284,-17.0,-17.9284,-184.80269594521204,-194.89509729318402,,NO_BROAD_TREND
CLOSE,2026-09-10T15:16:07.553352+00:00,GMKN,-1,1,2026-09-10T14:46:00+00:00,133.14,132.12,1331.4,1321.2,0.6657,0.6606,1.3262999999999998,10.200000000000045,8.873700000000046,76.61108607480705,66.6493916178462,,NO_BROAD_TREND
CLOSE,2026-09-10T15:20:05.596298+00:00,SBER,-1,1,2026-09-10T14:50:00+00:00,282.92,284.81,282.92,284.81,0.14146,0.142405,0.28386500000000003,-1.8899999999999864,-2.1738649999999864,-66.803336632264,-76.83673830057919,,NO_BROAD_TREND
CLOSE,2026-09-10T15:20:05.596298+00:00,ROSN,-1,1,2026-09-10T14:50:00+00:00,352.1,352.5,352.1,352.5,0.17605,0.17625,0.3523,-0.39999999999997726,-0.7522999999999773,-11.360408974723235,-21.366089179209805,,NO_BROAD_TREND
CLOSE,2026-09-10T15:20:05.596298+00:00,SBERP,-1,1,2026-09-10T14:50:00+00:00,282.94,284.7,282.94,284.7,0.14147,0.14235,0.28382,-1.759999999999991,-2.043819999999991,-62.20400084823608,-72.23510284866016,,NO_BROAD_TREND
OPEN,2026-09-10T15:23:30.476553+00:00,GAZP,1,1,2026-09-10T15:21:00+00:00,93.3,,933.0,,0.4665,,,,,,,2026-09-10T15:51:00+00:00,NO_BROAD_TREND
OPEN,2026-09-10T15:32:15.250533+00:00,SBER,1,1,2026-09-10T15:30:00+00:00,284.98,,284.98,,0.14249,,,,,,,2026-09-10T16:00:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-10T15:51:01.326668+00:00,GAZP,1,1,2026-09-10T15:21:00+00:00,93.3,93.59,933.0,935.9,0.4665,0.46795,0.93445,2.8999999999999773,1.9655499999999773,31.082529474812937,21.066988210074783,,NO_BROAD_TREND
CLOSE,2026-09-10T16:00:14.999646+00:00,SBER,1,1,2026-09-10T15:30:00+00:00,284.98,285.42,284.98,285.42,0.14249,0.14271,0.2852,0.4399999999999977,0.15479999999999772,15.439679977542475,5.431960137553433,,NO_BROAD_TREND
OPEN,2026-09-10T16:14:49.662890+00:00,PHOR,-1,1,2026-09-10T16:12:00+00:00,5609.0,,5609.0,,2.8045,,,,,,,2026-09-10T16:42:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-10T16:42:07.553686+00:00,PHOR,-1,1,2026-09-10T16:12:00+00:00,5609.0,5620.0,5609.0,5620.0,2.8045,2.81,5.6145,-11.0,-16.6145,-19.61133891959399,-29.621144589053305,,NO_BROAD_TREND
OPEN,2026-09-10T17:41:14.446908+00:00,NVTK,-1,1,2026-09-10T17:39:00+00:00,1044.1,,1044.1,,0.52205,,,,,,,2026-09-10T18:09:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-10T18:09:06.027505+00:00,NVTK,-1,1,2026-09-10T17:39:00+00:00,1044.1,1046.4,1044.1,1046.4,0.52205,0.5232,1.04525,-2.300000000000182,-3.345250000000182,-22.028541327461237,-32.03955559812454,,NO_BROAD_TREND
OPEN,2026-09-11T07:41:20.565732+00:00,NVTK,1,1,2026-09-11T07:39:00+00:00,1034.7,,1034.7,,0.51735,,,,,,,2026-09-11T08:09:00+00:00,NO_BROAD_TREND
OPEN,2026-09-11T07:45:42.186320+00:00,ROSN,1,1,2026-09-11T07:43:00+00:00,351.65,,351.65,,0.175825,,,,,,,2026-09-11T08:13:00+00:00,NO_BROAD_TREND
OPEN,2026-09-11T07:45:42.186320+00:00,TRNFP,1,1,2026-09-11T07:43:00+00:00,1025.2,,1025.2,,0.5126,,,,,,,2026-09-11T08:13:00+00:00,NO_BROAD_TREND
OPEN,2026-09-11T07:58:47.083962+00:00,SBER,1,1,2026-09-11T07:57:00+00:00,283.47,,283.47,,0.141735,,,,,,,2026-09-11T08:27:00+00:00,NO_BROAD_TREND
OPEN,2026-09-11T07:58:47.083962+00:00,SBERP,1,1,2026-09-11T07:57:00+00:00,283.32,,283.32,,0.14166,,,,,,,2026-09-11T08:27:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-11T08:09:03.226507+00:00,NVTK,1,1,2026-09-11T07:39:00+00:00,1034.7,1029.4,1034.7,1029.4,0.51735,0.5147,1.03205,-5.2999999999999545,-6.332049999999954,-51.222576592248046,-61.19696530395239,,NO_BROAD_TREND
