strategy,score,breadth,spread,hold,tp,sl,commission_bp,W0_trades,W0_net,W1_trades,W1_net,W2_trades,W2_net,W3_trades,W3_net,W4_trades,W4_net,positive_windows,usable_windows,pre_trades,pre_net,pre_mean,pre_median,pre_wr,pre_pos_days,pre_days,pre_without_best_day,pre_without_best_ticker,old_trades,old_net,old_mean,old_pos_days,old_days,old_without_best_day,old_without_best_ticker,fresh_trades,fresh_net,fresh_mean,fresh_pos_days,fresh_days,fresh_without_best_day,fresh_without_best_ticker
MR_TB_SCORE_130,1.3,0.6,2.0,120,60.0,50.0,0.0,38,466.0377674236937,38,185.98803142725993,52,-88.52957102633219,22,392.8184688060155,47,910.3590062952791,4,5,197,1866.6737029259157,9.47550103008079,12.73211585471045,54.82233502538071,17,25,1493.230367697597,1352.298261951948,15,-166.55963289359812,-11.103975526239875,2,4,-217.7986963300417,-265.95317095312316,0,,,0,0,,
MR_TB_SCORE_130,1.3,0.6,2.0,120,60.0,50.0,2.0,38,390.0377674236938,38,109.98803142725993,52,-192.52957102633218,22,348.81846880601546,47,816.3590062952791,4,5,197,1472.6737029259157,7.47550103008079,10.73211585471045,54.314720812182735,17,25,1112.622627063093,984.2982619519481,15,-196.55963289359812,-13.103975526239875,2,4,-241.7986963300417,-291.95317095312316,0,,,0,0,,
MR_TB_SCORE_130,1.3,0.6,2.0,120,60.0,50.0,4.0,38,314.0377674236938,38,33.98803142725987,52,-296.52957102633223,22,304.81846880601546,47,722.3590062952791,4,5,197,1078.6737029259157,5.47550103008079,8.73211585471045,54.314720812182735,16,25,730.622627063093,616.2982619519481,15,-226.55963289359812,-15.103975526239875,2,4,-265.7986963300417,-317.95317095312316,0,,,0,0,,
MR_TB_SCORE_130,1.3,0.6,2.0,120,60.0,50.0,6.0,38,238.03776742369382,38,-42.01196857274014,52,-400.52957102633223,22,260.81846880601546,47,628.3590062952791,3,5,197,684.6737029259161,3.4755010300807925,6.73211585471045,53.299492385786806,16,25,348.6226270630934,248.29826195194858,15,-256.5596328935981,-17.103975526239875,2,4,-289.7986963300417,-343.95317095312316,0,,,0,0,,
MR_TB_SCORE_130,1.3,0.6,2.0,120,60.0,50.0,8.0,38,162.0377674236938,38,-118.01196857274007,52,-504.52957102633223,22,216.81846880601546,47,534.3590062952791,3,5,197,290.6737029259162,1.475501030080793,4.73211585471045,53.299492385786806,14,25,-33.37737293690657,-119.70173804805137,15,-286.5596328935981,-19.103975526239875,1,4,-313.7986963300417,-369.95317095312316,0,,,0,0,,
MR_TB_SCORE_130,1.3,0.6,2.0,120,60.0,50.0,10.0,38,86.03776742369382,38,-194.01196857274002,52,-608.5295710263324,22,172.8184688060154,47,440.359006295279,3,5,197,-103.32629707408373,-0.5244989699192067,2.7321158547104503,53.299492385786806,14,25,-415.37737293690645,-487.7017380480513,15,-316.5596328935981,-21.103975526239875,1,4,-337.7986963300417,-395.95317095312316,0,,,0,0,,
MR_TB_SCORE_150,1.5,0.6,2.0,120,60.0,50.0,0.0,28,465.5395950122072,22,-36.50343320815842,37,295.3986939223246,13,327.66593196596284,31,540.4279417675214,4,5,131,1592.5287294598575,12.156707858472194,29.949906015704226,58.01526717557252,18,24,1220.4776535970348,1109.658927275711,10,-249.46336816613916,-24.946336816613915,2,4,-285.4775791321425,-282.44408276387617,0,,,0,0,,
MR_TB_SCORE_150,1.5,0.6,2.0,120,60.0,50.0,2.0,28,409.53959501220726,22,-80.50343320815841,37,221.3986939223246,13,301.66593196596284,31,478.4279417675213,4,5,131,1330.5287294598575,10.156707858472194,27.949906015704226,57.25190839694656,18,24,970.4776535970348,871.6589272757109,10,-269.46336816613916,-26.946336816613915,2,4,-301.4775791321425,-300.44408276387617,0,,,0,0,,
MR_TB_SCORE_150,1.5,0.6,2.0,120,60.0,50.0,4.0,28,353.5395950122072,22,-124.50343320815847,37,147.3986939223246,13,275.6659319659629,31,416.4279417675213,4,5,131,1068.5287294598575,8.156707858472194,25.949906015704226,57.25190839694656,18,24,720.4776535970348,633.6589272757109,10,-289.46336816613916,-28.946336816613915,2,4,-318.44408276387617,-318.44408276387617,0,,,0,0,,
MR_TB_SCORE_150,1.5,0.6,2.0,120,60.0,50.0,6.0,28,297.5395950122072,22,-168.50343320815847,37,73.39869392232461,13,249.6659319659629,31,354.42794176752125,4,5,131,806.5287294598575,6.156707858472195,23.949906015704226,56.48854961832062,16,24,470.4776535970347,395.6589272757109,10,-309.46336816613916,-30.946336816613915,2,4,-336.44408276387617,-336.44408276387617,0,,,0,0,,
MR_TB_SCORE_150,1.5,0.6,2.0,120,60.0,50.0,8.0,28,241.5395950122072,22,-212.5034332081584,37,-0.6013060776753747,13,223.6659319659629,31,292.42794176752125,3,5,131,544.5287294598575,4.156707858472195,21.949906015704226,56.48854961832062,15,24,220.4776535970347,157.65892727571088,10,-329.46336816613916,-32.946336816613915,2,4,-354.44408276387617,-354.44408276387617,0,,,0,0,,
MR_TB_SCORE_150,1.5,0.6,2.0,120,60.0,50.0,10.0,28,185.5395950122072,22,-256.5034332081584,37,-74.6013060776754,13,197.6659319659629,31,230.42794176752128,3,5,131,282.5287294598576,2.156707858472195,19.949906015704226,56.48854961832062,14,24,-29.522346402965184,-80.341072724289,10,-349.46336816613916,-34.946336816613915,2,4,-372.44408276387617,-372.44408276387617,0,,,0,0,,
