horizon,score_cut,flow_votes,market_align,W0_trades,W0_net,W1_trades,W1_net,W2_trades,W2_net,W3_trades,W3_net,W4_trades,W4_net,positive_windows,usable_windows,pre_trades,pre_net,pre_mean,pre_wr,pre_pos_days,pre_days,pre_no_best_day,pre_no_best_ticker,sep_trades,sep_net,sep_mean,sep_wr,sep_pos_days,sep_days,sep_no_best_day,sep_no_best_ticker,fresh_trades,fresh_net,fresh_mean,fresh_wr,fresh_pos_days,fresh_days,fresh_no_best_day,fresh_no_best_ticker
30,1.3,1,False,514,-7793.351098589175,489,-5577.1529057819025,593,-9378.519104188457,639,-11798.52811914056,599,-8300.400201636998,0,5,2834,-42847.951429337096,-15.119248916491566,32.21594918842625,0,25,-42061.93619153793,-42898.73459741533,280,-3775.695625150614,-13.484627232680765,28.92857142857143,0,4,-3630.8157170229297,-3761.55497262327,185,-4097.191338264709,-22.146980206836265,24.864864864864867,0,3,-4086.1167783713954,-4074.4322694794046
30,1.3,1,True,495,-7889.011834713637,469,-6089.355761417266,567,-9119.23081406453,621,-10969.752197793441,577,-7170.699506543697,0,5,2729,-41238.05011453257,-15.111048044900171,32.063026749725175,0,25,-40542.09183022729,-41199.27052442278,265,-3782.6575055431877,-14.274179266200708,28.67924528301887,0,4,-3669.435623392274,-3791.6357010756687,181,-3947.4676943457443,-21.809213780915716,25.41436464088398,0,3,-3936.393134452431,-3924.70862556044
30,1.3,2,False,505,-7668.1017549000935,484,-5506.058990196306,581,-8947.550695775753,627,-11332.436760997276,587,-7944.1540731201685,0,5,2784,-41398.302274989604,-14.870079840154313,32.543103448275865,0,25,-40774.21562832475,-41449.08544306784,272,-3573.7398579413157,-13.138749477725426,29.77941176470588,0,4,-3438.8599858141793,-3560.6661824397274,179,-3883.0837434685054,-21.693205270773774,25.69832402234637,0,3,-3872.009183575192,-3932.157182395799
30,1.3,2,True,485,-7758.485862355014,463,-5955.160779667789,554,-8599.893843208738,610,-10447.901633394205,566,-6991.875375366288,0,5,2678,-39753.317493992035,-14.844405337562373,32.44958924570575,0,25,-39216.01380122384,-39714.53790388225,257,-3592.106630141619,-13.977068599772837,29.571984435797667,0,4,-3488.8847839912532,-3574.844108508609,175,-3705.9183208240283,-21.176676118994447,26.285714285714285,0,3,-3694.843760930715,-3754.9917597513218
30,1.3,3,False,446,-6281.259628567333,400,-4603.737516484638,504,-7196.799442149566,543,-8833.494890377357,515,-5242.92613941896,0,5,2408,-32158.217616997852,-13.35474153529811,34.053156146179404,0,25,-31890.19130065351,-32291.139435971374,231,-3171.6830673274094,-13.730229728690084,29.87012987012987,0,4,-2978.6100988136463,-3169.1591121285687,153,-3957.1422862296713,-25.863675073396543,21.568627450980394,0,3,-3946.0677263363577,-3938.76853490075
30,1.3,3,True,425,-6023.553690176865,384,-4601.291538161249,479,-6958.126081421598,529,-7573.062111771678,491,-4645.342332028673,0,5,2308,-29801.375753560063,-12.912207865493961,34.1421143847487,0,25,-29553.116998620066,-29934.297572533585,215,-2985.212338616824,-13.884708551706158,30.697674418604652,0,4,-2823.7973960798317,-2982.4965525253697,149,-3834.7250675797104,-25.736409849528258,22.14765100671141,0,3,-3823.650507686397,-3811.435944443853
30,1.5,1,False,412,-6274.452098853397,372,-4501.509860392018,463,-7272.286626819876,522,-9441.199097979495,484,-5933.301171337313,0,5,2253,-33422.7488553821,-14.834775346374657,32.445628051486906,0,25,-32976.34596474543,-33545.60979047047,206,-3045.761233666317,-14.785248707118043,27.184466019417474,0,4,-3008.7622432569688,-3098.9243670096907,147,-3266.96823144086,-22.224273683271157,25.850340136054424,0,3,-3255.8936715475465,-3344.6685420142785
30,1.5,1,True,401,-6395.250926486122,349,-4480.150238735981,441,-7032.388255309794,508,-9381.054483710064,468,-5308.449984739458,0,5,2167,-32597.293888981418,-15.042590627125712,32.256575911398244,0,25,-32276.482167386705,-32575.486396596018,193,-2852.90452192019,-14.781888714612382,27.461139896373055,0,4,-2847.5635574876123,-2894.698779549907,143,-3060.256310133088,-21.400393777154463,26.573426573426573,0,3,-3049.1817502397744,-3137.9566207065063
30,1.5,2,False,404,-6402.654312823612,367,-4292.965162460522,457,-6742.938817298816,517,-9159.721832611112,475,-5416.650375075827,0,5,2220,-32014.93050026989,-14.421139864986436,33.01801801801802,0,25,-31692.05439834057,-32137.79143535826,204,-3056.2404759771275,-14.981570960672194,26.96078431372549,0,4,-3019.2414855677794,-3091.8958026620735,145,-3137.0491036015565,-21.634821404148664,25.517241379310345,0,3,-3125.974543708243,-3215.821391926972
30,1.5,2,True,392,-6474.658677249887,343,-4224.5898240312745,435,-6478.833748877382,503,-9006.075106729673,459,-4783.3856323330465,0,5,2132,-30967.542989221263,-14.525113972430237,32.87992495309568,0,25,-30655.171424797525,-30945.735496835863,191,-2863.383764231001,-14.99153803262304,27.225130890052355,0,4,-2858.0427997984234,-2888.0637874607983,142,-3029.4049418425802,-21.33383761860972,26.056338028169012,0,3,-3018.3303819492667,-3108.1772301679957
