family,horizon,param1,param2,W1_trades,W1_net,W2_trades,W2_net,W3_trades,W3_net,pre_trades,pre_net,pre_mean,pre_wr,pre_days,pre_pos_days,pre_without_best_day,pre_without_best_ticker,fwd_trades,fwd_net,fwd_mean,fwd_wr,fwd_days,fwd_pos_days,fwd_without_best_day,fwd_without_best_ticker
REGIME,60,1.3,0.6,321,-2465.97222484158,321,-3550.7746387095804,301,-5515.134514691132,943,-11531.881378242291,-12.228930411709747,38.70625662778367,15,1,-12251.100630365614,-12277.121398470215,148,-2153.3599566950725,-14.549729437128867,30.405405405405407,4,0,-2032.7192931310426,-2270.793812037977
REGIME,60,1.3,0.65,327,-2462.30791929901,323,-3115.0297560992194,304,-4811.849908332307,954,-10389.187583730534,-10.890133735566598,39.517819706498955,15,1,-11030.853218183885,-11271.359249011235,150,-2034.3445211095684,-13.562296807397123,30.0,4,0,-1928.1445718393848,-2268.8145872615373
REGIME,60,1.3,0.7,327,-2878.1022119216077,327,-2091.2981289027234,307,-4938.904268301601,961,-9908.304609125931,-10.310410623440095,40.16649323621228,15,3,-10362.5258494864,-10693.679153683388,153,-1961.8992798681702,-12.822871110249478,31.372549019607842,4,0,-1894.051882353092,-2196.3693460201393
REGIME,60,1.5,0.6,266,-2597.9617869424146,262,-3151.942395812608,246,-3395.401941274549,774,-9145.306124029572,-11.81564098711831,39.405684754521964,15,3,-9733.954911195031,-9643.610044908168,113,-1091.891315734201,-9.662755006497354,32.743362831858406,4,0,-1061.616352232785,-1299.6676790438155
REGIME,60,1.5,0.65,272,-2398.189488470207,264,-3130.3001484814354,248,-3392.866555705449,784,-8921.356192657091,-11.379280857980984,40.05102040816326,15,3,-9394.082057596224,-9136.71678196519,114,-961.0784953526306,-8.430513117128339,33.33333333333333,4,0,-930.8035318512145,-1194.855914257005
REGIME,60,1.5,0.7,273,-2194.890402698431,266,-2414.02419296671,250,-3968.9270619014405,789,-8577.841657566581,-10.871789173088189,40.557667934093786,15,3,-9256.192842765384,-9180.846083566792,116,-952.5339657010376,-8.211499704319289,33.62068965517241,4,1,-970.2393089194563,-1186.3113846054118
REGIME,60,1.75,0.6,216,-1414.0244747971535,206,-2732.924102227026,203,-1719.2622026351664,625,-5866.210779659346,-9.385937247454955,40.96,15,3,-7194.316777794111,-6422.611832420753,81,-860.3020571180889,-10.621013050840604,35.80246913580247,4,1,-885.0786110908747,-1062.9702717605614
REGIME,60,1.75,0.65,222,-1271.877301010498,210,-2331.811802644208,205,-1855.494049641748,637,-5459.183153296453,-8.570146237514056,41.915227629513346,15,3,-6671.366229204892,-5670.990672008231,82,-719.7118495065511,-8.776973774470134,36.58536585365854,4,1,-744.4884034793369,-1011.5240306576263
REGIME,60,1.75,0.7,223,-970.4604731230029,211,-1546.4003054953546,207,-2504.868841270067,641,-5021.729619888425,-7.834211575488963,42.27769110764431,15,4,-6046.46830170398,-5564.7477465796765,82,-673.2761190399614,-8.210684378536115,37.80487804878049,4,1,-698.0526730127472,-965.0883001910366
REGIME,60,2.0,0.6,171,-463.4700120363641,165,-2194.5345771374928,155,-1469.435770238907,491,-4127.440359412763,-8.406192178030068,39.307535641547865,15,3,-5840.515889329884,-4650.02387015792,56,-339.8060290611829,-6.067964804663981,42.857142857142854,4,1,-364.3555222916144,-534.2642827124614
