score_cut,breadth_cut,spread_cut,hold_min,tp_bp,sl_bp,pre_trades,commission_bp,W0_net,W1_net,W2_net,W3_net,W4_net,positive_windows,usable_windows,pre_net,pre_mean,robust_day_10bp,robust_ticker_10bp
1.3,0.6,1.5,60.0,20.0,15.0,100,0,-205.93138887680118,-146.3163227886704,73.97969690154486,29.83557717031219,-2.8884392691866765,2,5,-251.32087686280124,-2.5132087686280125,-1305.1663752960608,-1270.2452097549617
1.3,0.6,1.5,60.0,20.0,15.0,100,2,-243.93138887680118,-182.3163227886704,5.979696901544855,11.835577170312192,-42.88843926918668,2,5,-451.32087686280124,-4.5132087686280125,-1305.1663752960608,-1270.2452097549617
1.3,0.6,1.5,60.0,20.0,15.0,100,4,-281.9313888768012,-218.3163227886704,-62.020303098455145,-6.164422829687808,-82.88843926918668,0,5,-651.3208768628012,-6.5132087686280125,-1305.1663752960608,-1270.2452097549617
1.3,0.6,1.5,60.0,20.0,15.0,100,6,-319.9313888768012,-254.3163227886704,-130.02030309845514,-24.16442282968781,-122.88843926918668,0,5,-851.3208768628012,-8.513208768628012,-1305.1663752960608,-1270.2452097549617
1.3,0.6,1.5,60.0,20.0,15.0,100,8,-357.9313888768012,-290.3163227886704,-198.02030309845514,-42.16442282968781,-162.88843926918668,0,5,-1051.3208768628012,-10.513208768628012,-1305.1663752960608,-1270.2452097549617
1.3,0.6,1.5,60.0,20.0,15.0,100,10,-395.9313888768012,-326.3163227886704,-266.02030309845514,-60.16442282968781,-202.88843926918668,0,5,-1251.3208768628012,-12.513208768628012,-1305.1663752960608,-1270.2452097549617
1.3,0.6,1.5,60.0,20.0,15.0,100,12,-433.9313888768012,-362.3163227886704,-334.02030309845514,-78.16442282968781,-242.88843926918668,0,5,-1451.3208768628012,-14.513208768628012,-1305.1663752960608,-1270.2452097549617
1.3,0.6,1.5,60.0,20.0,25.0,97,0,-97.53684291419938,-66.04161134513521,-28.3603634943276,50.28864679712657,-8.578534862732965,1,5,-150.22870581926873,-1.5487495445285435,-1174.0742042525285,-1139.1530387114292
1.3,0.6,1.5,60.0,20.0,25.0,97,2,-135.53684291419938,-100.04161134513521,-94.3603634943276,32.28864679712657,-46.578534862732965,1,5,-344.2287058192687,-3.5487495445285435,-1174.0742042525285,-1139.1530387114292
1.3,0.6,1.5,60.0,20.0,25.0,97,4,-173.53684291419938,-134.0416113451352,-160.3603634943276,14.288646797126567,-84.57853486273297,1,5,-538.2287058192687,-5.548749544528544,-1174.0742042525285,-1139.1530387114292
1.3,0.6,1.5,60.0,20.0,25.0,97,6,-211.53684291419938,-168.0416113451352,-226.3603634943276,-3.7113532028734326,-122.57853486273297,0,5,-732.2287058192687,-7.548749544528544,-1174.0742042525285,-1139.1530387114292
1.3,0.6,1.5,60.0,20.0,25.0,97,8,-249.53684291419938,-202.0416113451352,-292.3603634943276,-21.711353202873433,-160.57853486273297,0,5,-926.2287058192687,-9.548749544528544,-1174.0742042525285,-1139.1530387114292
1.3,0.6,1.5,60.0,20.0,25.0,97,10,-287.5368429141994,-236.0416113451352,-358.3603634943276,-39.71135320287343,-198.57853486273297,0,5,-1120.2287058192687,-11.548749544528544,-1174.0742042525285,-1139.1530387114292
1.3,0.6,1.5,60.0,20.0,25.0,97,12,-325.5368429141994,-270.0416113451352,-424.3603634943276,-57.71135320287343,-236.57853486273297,0,5,-1314.2287058192687,-13.548749544528544,-1174.0742042525285,-1139.1530387114292
1.3,0.6,1.5,60.0,20.0,35.0,96,0,-162.02574679147034,-33.372322423979426,36.82317596813988,-3.4086858595280773,-112.29519259803305,1,5,-274.2787717048709,-2.857070538592405,-1303.1136244123866,-1253.2031045970311
1.3,0.6,1.5,60.0,20.0,35.0,96,2,-198.02574679147034,-67.37232242397943,-29.17682403186012,-21.408685859528077,-150.29519259803305,0,5,-466.2787717048709,-4.857070538592406,-1303.1136244123866,-1253.2031045970311
